121st & Amsterdam,40.810028,-73.958742
120th & Amsterdam,40.809403,-73.959223
11th & University,40.733867,-73.993334
11th & 3rd,40.731779,-73.988755
116th & Lexington,40.798657,-73.941621
116th & 2nd,40.79708,-73.937838
113th & Broadway,40.806129,-73.965331
107th & Broadway,40.802283,-73.967845
106th & Broadway,40.801361,-73.967915
105th & Broadway,40.800522,-73.968028
103rd & Broadway,40.799091,-73.968599
Wooster & Broome,40.723418,-74.002046
West 3rd & Mercer,40.728752,-73.995525
West 3rd & LaGuardia,40.729862,-73.997835
Waverly & Broadway,40.730194,-73.993179
Waverly & 6th,40.733458,-74.000004
Waverly & 10th,40.734977,-74.001252
Water & Wall,40.705614,-74.007414
Washington Square South & Thompson,40.730834,-73.998047
Washington Place & Mercer,40.729918,-73.994523
Washington & Little West 12th,40.740579,-74.007915
Wall & Water,40.705614,-74.007414
Varick & King,40.728385,-74.005312
Vanderbilt & 42nd,40.752647,-73.978555
Stuyvesant & 3rd,40.730415,-73.989757
St. Marks & 2nd,40.729042,-73.987881
St Marks & 2nd,40.729042,-73.987881
Spruce & Gold,40.710595,-74.00423
Spring & Wooster,40.724634,-74.001044
Spring & Thompson,40.725379,-74.002534
Spring & Greenwich,40.726518,-74.009001
Spring & Bowery,40.721435,-73.993895
Rivington & Norfolk,40.720031,-73.986845
Rivington & Essex,40.720296,-73.987667
Rector & Greenwich,40.708464,-74.013503
Reade & Church,40.715891,-74.007429
Queens Blvd & 63rd St,40.741282,-73.902616
Prince & Mercer,40.725154,-73.99853
Prince & Elizabeth,40.723181,-73.994124
Pitt & Rivington,40.718783,-73.982718
Pearl Street & Peck Slip,40.709207,-74.002505
Pearl & Beekman,40.708617,-74.003396
Park Place & Church,40.713705,-74.00915
Park Ave. South & 21st,40.739202,-73.987504
Park & 60th,40.763653,-73.969486
Park & 51st,40.757968,-73.973697
Park & 50th,40.757376,-73.974155
Park & 48th,40.75616,-73.97505
Park & 27th,40.743031,-73.984799
Orchard & Stanton,40.721831,-73.988633
Orchard & Houston,40.723015,-73.987999
Orchard & Broome,40.718591,-73.990251
North Moore & Varick,40.720319,-74.006715
Mulberry & Prince,40.723828,-73.995571
Mulberry & Hester,40.718614,-73.997892
Mulberry & Grand,40.719814,-73.997258
Mott & Bayard,40.716145,-73.998424
Maiden & Water,40.706615,-74.005981
Madison & 50th,40.757974,-73.975841
Madison & 42nd,40.753012,-73.979484
Madison & 33rd,40.747392,-73.983607
Liberty & Nassau,40.708995,-74.009216
Liberty & Broadway,40.709608,-74.010468
Lexington & 59th,40.762431,-73.96841
Lexington & 51st,40.757337,-73.972119
Lexington & 45th,40.753574,-73.974825
Lexington & 43rd,40.752309,-73.97572
Lexington & 22nd,40.739097,-73.985447
Lafayette & Houston,40.725507,-73.995368
Lafayette & Great Jones,40.727807,-73.993603
John & Gold,40.708642,-74.006469
Jane & 8th,40.738641,-74.00407
Irving Place & 15th,40.735055,-73.988391
Hudson & Houston,40.729262,-74.006953
Hudson & Front,40.702232,-73.981175
Hudson & Charlton,40.72783,-74.007198
Hudson & Bank,40.737114,-74.00568
Houston & Thompson,40.72786,-74.000465
Houston & Sullivan,40.728225,-74.001199
Houston & Hudson,40.729262,-74.006953
Houston & Essex,40.722615,-73.986507
Horatio & Eighth,40.739282,-74.003396
Grove & Bleecker,40.733404,-74.003858
Grove & Bedford,40.73293,-74.005289
Greene & Prince,40.725518,-73.999221
Grand & Lewis,40.714459,-73.979883
Fulton & William,40.710025,-74.006354
Essex & Delancey,40.719129,-73.988344
E 68th & 3rd ave,40.767353,-73.962708
E 5th & 2nd Ave,40.727283,-73.989038
Clinton & Stanton,40.720666,-73.984656
Clinton & Rivington,40.719532,-73.985224
Church & Liberty,40.710138,-74.011547
Christopher & Bleecker,40.733865,-74.004116
Christopher & Bedford,40.733639,-74.005676
Christopher & 7th,40.734158,-74.002664
Charlton & Hudson,40.72783,-74.007198
Cedar & Greenwich,40.710142,-74.012824
Catherine & Madison Street,40.712583,-73.996926
Canal & Mott,40.717296,-73.997769
Canal & Lafayette,40.718934,-74.000423
Canal & Eldridge,40.715883,-73.99336
Broadway & Washington Place,40.729554,-73.993745
Broadway & Tiemann,40.815149,-73.958757
Broadway & Thames,40.709066,-74.010968
Broadway & Astor,40.730654,-73.992809
Broadway & 79th,40.78391,-73.980166
Broadway & 70th,40.777065,-73.982217
Broadway & 4th,40.728929,-73.994203
Broadway & 46th,40.758764,-73.985424
Broadway & 22nd,40.740889,-73.989725
Broadway & 172nd,40.844085,-73.93899
Broadway & 13th,40.734568,-73.990927
Broadway & 108th,40.803024,-73.967667
Broadway & 100th,40.797201,-73.969953
Broad & Exchange,40.70681,-74.011109
Bowery & Stanton,40.723326,-73.993106
Bowery & Grand,40.718918,-73.994838
Bowery & Delancey,40.720843,-73.994114
Bowery & Canal,40.716747,-73.996061
Bowery & 1st,40.725449,-73.992316
Bleecker & Thompson,40.728945,-73.999594
Bleecker & LaGuardia,40.728581,-73.998924
Bleecker & Christopher,40.733865,-74.004116
Bleecker & 6th,40.730269,-74.002077
Bedford & Barrow,40.73232,-74.004946
Bank & Bleecker,40.737162,-74.005225
9th Street & 6th Avenue,40.66803,-73.983943
9th Street & 4th Avenue,40.731142,-73.990533
9th Street & 2nd Avenue,40.729634,-73.987445
99th & Amsterdam,40.796029,-73.969006
98th & Madison,40.788551,-73.953294
97th & 5th,40.788624,-73.955352
96th & Riverside,40.796064,-73.975074
96th & 1st,40.783269,-73.944723
94th & Lexington,40.784594,-73.951952
94th & Amsterdam,40.792743,-73.971408
93rd & Broadway,40.792683,-73.97325
92nd & 3rd,40.782681,-73.951248
92nd & 2nd,40.781702,-73.949043
91st & Broadway,40.791467,-73.974145
91st & 1st,40.780164,-73.947081
90th & Amsterdam,40.790278,-73.973263
8th Street & 5th Avenue,40.732855,-73.996305
